0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
"[0.709911584854126, 0.12825751304626465]","[0.7149591445922852, 0.10538870841264725]","[0.7165138721466064, 0.10542481392621994]","[0.718294620513916, 0.10544276982545853]","[0.7144355177879333, 0.10402649641036987]","[0.7155973315238953, 0.10292592644691467]","[0.7170134782791138, 0.10163995623588562]","[0.7377184629440308, 0.11415234953165054]","[0.7367403507232666, 0.10840865969657898]","[0.7176215648651123, 0.152694970369339]","[0.7163578867912292, 0.1517561972141266]","[0.765206515789032, 0.2322973608970642]","[0.7809399366378784, 0.21422255039215088]","[0.7861373424530029, 0.4100112020969391]","[0.8146573901176453, 0.33863088488578796]","[0.7183927893638611, 0.4102851450443268]","[0.792336642742157, 0.3556789755821228]","[0.7033635377883911, 0.4109792113304138]","[0.7887016534805298, 0.35596686601638794]","[0.7047791481018066, 0.3912184536457062]","[0.7855213284492493, 0.34414806962013245]","[0.7107159495353699, 0.38984590768814087]","[0.7862537503242493, 0.34613853693008423]","[0.8009532690048218, 0.5643043518066406]","[0.7796241641044617, 0.5501895546913147]","[0.8342736959457397, 0.7676082253456116]","[0.6980928182601929, 0.6574529409408569]","[0.9282946586608887, 0.9055005311965942]","[0.7627975940704346, 0.8368148803710938]","[0.9549695253372192, 0.9159152507781982]","[0.7859753966331482, 0.8783222436904907]","[0.9030777215957642, 0.9848159551620483]","[0.7092360854148865, 0.8830448389053345]"
"[0.7062726020812988, 0.1271873265504837]","[0.7115831971168518, 0.1043035164475441]","[0.7132461667060852, 0.10408467054367065]","[0.7152019739151001, 0.10386476665735245]","[0.7115564942359924, 0.10324526578187943]","[0.7129925489425659, 0.1021689921617508]","[0.7146618962287903, 0.1009332686662674]","[0.7353073358535767, 0.11103828251361847]","[0.7340066432952881, 0.10567007213830948]","[0.7154735326766968, 0.15059997141361237]","[0.7146828174591064, 0.1497790515422821]","[0.7605444192886353, 0.2236846685409546]","[0.7810229659080505, 0.20772671699523926]","[0.7802225351333618, 0.3911811411380768]","[0.8152801394462585, 0.32702910900115967]","[0.7154421210289001, 0.39676064252853394]","[0.7902529835700989, 0.3548445999622345]","[0.7009672522544861, 0.40004318952560425]","[0.7891446948051453, 0.36041882634162903]","[0.7017513513565063, 0.3781929314136505]","[0.7783068418502808, 0.35380324721336365]","[0.7077847123146057, 0.37643593549728394]","[0.7799768447875977, 0.35122597217559814]","[0.7910157442092896, 0.5554803013801575]","[0.7715712189674377, 0.5450690984725952]","[0.8320603370666504, 0.7548626661300659]","[0.6982717514038086, 0.6555216908454895]","[0.931195080280304, 0.8828389644622803]","[0.7217007875442505, 0.8451471328735352]","[0.9568414688110352, 0.8803626298904419]","[0.7388674020767212, 0.8932228088378906]","[0.9238451719284058, 0.9819996356964111]","[0.6706862449645996, 0.8810344934463501]"
"[0.6974007487297058, 0.11961234360933304]","[0.7012630105018616, 0.09724365919828415]","[0.7028343677520752, 0.09695791453123093]","[0.7046376466751099, 0.09654966741800308]","[0.7017714977264404, 0.09579630941152573]","[0.703527569770813, 0.09447351098060608]","[0.7056361436843872, 0.09279604256153107]","[0.7243245840072632, 0.10091979056596756]","[0.7258230447769165, 0.09574978053569794]","[0.706688404083252, 0.14208802580833435]","[0.706902801990509, 0.14034460484981537]","[0.7493228316307068, 0.21523399651050568]","[0.7795860171318054, 0.1975957602262497]","[0.7760217189788818, 0.3727259635925293]","[0.8205369710922241, 0.3053677976131439]","[0.7115518450737, 0.38613536953926086]","[0.7903122901916504, 0.34991025924682617]","[0.6972371339797974, 0.3910441994667053]","[0.7891566157341003, 0.3587379455566406]","[0.6973544359207153, 0.36908528208732605]","[0.7770206928253174, 0.3530997037887573]","[0.7030466794967651, 0.36645597219467163]","[0.7784292697906494, 0.3509879410266876]","[0.7779479622840881, 0.5461224317550659]","[0.7585113048553467, 0.5386848449707031]","[0.8242513537406921, 0.7448208332061768]","[0.7009609937667847, 0.6560561060905457]","[0.9359407424926758, 0.8375368714332581]","[0.691691517829895, 0.8576046228408813]","[0.9614118337631226, 0.8139714598655701]","[0.7018989324569702, 0.9061436057090759]","[0.9483555555343628, 0.9520699381828308]","[0.6347800493240356, 0.8701625466346741]"
"[0.6902893781661987, 0.11395721137523651]","[0.6949796080589294, 0.09217743575572968]","[0.6965254545211792, 0.09182221442461014]","[0.6983320713043213, 0.09141721576452255]","[0.6959554553031921, 0.09062144160270691]","[0.6979821920394897, 0.08926717936992645]","[0.700319230556488, 0.08768560737371445]","[0.71771639585495, 0.09706635773181915]","[0.7197881937026978, 0.09203115105628967]","[0.6998717784881592, 0.1366351842880249]","[0.7007762789726257, 0.1345665156841278]","[0.745019793510437, 0.20828032493591309]","[0.770427405834198, 0.1934429556131363]","[0.7697380781173706, 0.36466237902641296]","[0.8100606203079224, 0.3053576946258545]","[0.7037570476531982, 0.388260155916214]","[0.7935546636581421, 0.3496474027633667]","[0.6895017623901367, 0.3935003876686096]","[0.7927979230880737, 0.3564607799053192]","[0.6892972588539124, 0.3719947934150696]","[0.7833619117736816, 0.3495436906814575]","[0.6948978900909424, 0.36945486068725586]","[0.7821390628814697, 0.34835657477378845]","[0.766936182975769, 0.5480465888977051]","[0.7615951895713806, 0.5393665432929993]","[0.806993842124939, 0.7243361473083496]","[0.7153005599975586, 0.6764456629753113]","[0.9355584979057312, 0.7867377400398254]","[0.6812239289283752, 0.8632032871246338]","[0.9600326418876648, 0.7537537217140198]","[0.6877942681312561, 0.9146184325218201]","[0.9540930986404419, 0.8868762254714966]","[0.6320540308952332, 0.867215633392334]"
"[0.6825398802757263, 0.11405359208583832]","[0.6878482103347778, 0.09267544001340866]","[0.689405620098114, 0.09246896952390671]","[0.6912622451782227, 0.09222254157066345]","[0.6885442137718201, 0.09086353331804276]","[0.6903889179229736, 0.08946650475263596]","[0.6925818920135498, 0.08793742954730988]","[0.7102603316307068, 0.0985644981265068]","[0.7118216753005981, 0.09339260309934616]","[0.6919505596160889, 0.13745005428791046]","[0.6922881603240967, 0.13551673293113708]","[0.7365241050720215, 0.2085471749305725]","[0.7611927390098572, 0.19452767074108124]","[0.7671078443527222, 0.36085328459739685]","[0.8105819821357727, 0.307489275932312]","[0.7008383274078369, 0.4035024344921112]","[0.7829442024230957, 0.3555409610271454]","[0.6857501864433289, 0.412380188703537]","[0.7812595367431641, 0.3698286712169647]","[0.6840530633926392, 0.39603856205940247]","[0.7705575227737427, 0.36359474062919617]","[0.6901451945304871, 0.39220932126045227]","[0.7714278101921082, 0.36091354489326477]","[0.759839653968811, 0.5518733263015747]","[0.7631305456161499, 0.5397355556488037]","[0.7235084176063538, 0.7116271257400513]","[0.7852171063423157, 0.726588785648346]","[0.6920424699783325, 0.8538850545883179]","[0.9036616086959839, 0.8085543513298035]","[0.6985246539115906, 0.9024409651756287]","[0.9145461916923523, 0.7453550696372986]","[0.6373589634895325, 0.8881901502609253]","[0.9215542078018188, 0.8598359227180481]"
"[0.6749283075332642, 0.12031576037406921]","[0.6815206408500671, 0.09579036384820938]","[0.6834887266159058, 0.09540297091007233]","[0.6857649087905884, 0.09503432363271713]","[0.6813459396362305, 0.09458273649215698]","[0.682925820350647, 0.09342499822378159]","[0.6847897171974182, 0.09219680726528168]","[0.7053961753845215, 0.10457982122898102]","[0.7040286660194397, 0.10154742002487183]","[0.6853119134902954, 0.14524462819099426]","[0.6845735907554626, 0.1444060355424881]","[0.7377362847328186, 0.209403395652771]","[0.7377773523330688, 0.20514562726020813]","[0.7611420750617981, 0.3644729554653168]","[0.7624360918998718, 0.3525148034095764]","[0.6958510279655457, 0.4411190450191498]","[0.720651388168335, 0.4301489591598511]","[0.6821554899215698, 0.46100789308547974]","[0.7119482755661011, 0.460140198469162]","[0.6782557368278503, 0.4447360634803772]","[0.7071689367294312, 0.4418276846408844]","[0.6832110285758972, 0.4377606213092804]","[0.7093358039855957, 0.43909433484077454]","[0.7509647607803345, 0.5522956848144531]","[0.7521001100540161, 0.5399165153503418]","[0.7083443999290466, 0.7208541035652161]","[0.7705478668212891, 0.7377983331680298]","[0.7086561322212219, 0.8682449460029602]","[0.8781518936157227, 0.7607311606407166]","[0.719629168510437, 0.9158049821853638]","[0.893990695476532, 0.7277794480323792]","[0.6452792882919312, 0.9071444272994995]","[0.8950158953666687, 0.8546240329742432]"
"[0.6693893671035767, 0.13932640850543976]","[0.6768853068351746, 0.11367644369602203]","[0.679362952709198, 0.11298643797636032]","[0.6820272207260132, 0.11213059723377228]","[0.6752715706825256, 0.11359979957342148]","[0.6764296293258667, 0.11281850934028625]","[0.6778619885444641, 0.11166594922542572]","[0.7010787725448608, 0.11980656534433365]","[0.6977017521858215, 0.1169726699590683]","[0.6799837946891785, 0.1618194282054901]","[0.6774064898490906, 0.162505641579628]","[0.7329520583152771, 0.23286029696464539]","[0.723166823387146, 0.23259781301021576]","[0.764055609703064, 0.3854568898677826]","[0.7429102659225464, 0.3666531443595886]","[0.6985026597976685, 0.4742792844772339]","[0.7014650106430054, 0.44123077392578125]","[0.6831408143043518, 0.49204903841018677]","[0.6821998357772827, 0.4475955665111542]","[0.681995689868927, 0.4761028587818146]","[0.6882175207138062, 0.4535280466079712]","[0.6872840523719788, 0.4700355529785156]","[0.6919366121292114, 0.4442552924156189]","[0.7464536428451538, 0.5525864958763123]","[0.7497750520706177, 0.5414301753044128]","[0.7045038938522339, 0.725615382194519]","[0.7443515062332153, 0.7296333312988281]","[0.7791361808776855, 0.7571704387664795]","[0.7607823610305786, 0.8711408972740173]","[0.7951650619506836, 0.7247671484947205]","[0.7791884541511536, 0.9003070592880249]","[0.8149558901786804, 0.8544884324073792]","[0.7109280228614807, 0.9151567816734314]"
"[0.6670822501182556, 0.14381811022758484]","[0.6736798286437988, 0.12036371976137161]","[0.6758877038955688, 0.11974789202213287]","[0.6783996820449829, 0.11900556087493896]","[0.6724904179573059, 0.12080857157707214]","[0.6736149191856384, 0.12039395421743393]","[0.674970805644989, 0.11959239840507507]","[0.6967586874961853, 0.1274733692407608]","[0.6923501491546631, 0.12440089881420135]","[0.6755453944206238, 0.16628113389015198]","[0.6733461618423462, 0.16655384004116058]","[0.7301654815673828, 0.23189373314380646]","[0.7120076417922974, 0.2366260141134262]","[0.7654419541358948, 0.38295313715934753]","[0.7238301038742065, 0.37013041973114014]","[0.7128998041152954, 0.48094040155410767]","[0.6807751059532166, 0.4440239369869232]","[0.7013498544692993, 0.508418083190918]","[0.6674827337265015, 0.45865708589553833]","[0.6946496963500977, 0.49748870730400085]","[0.6689015626907349, 0.45162713527679443]","[0.6963385343551636, 0.48741310834884644]","[0.6729080080986023, 0.4463323950767517]","[0.7475520372390747, 0.5509970188140869]","[0.7430527806282043, 0.5416566729545593]","[0.680672824382782, 0.727407693862915]","[0.7280261516571045, 0.7293096780776978]","[0.7999299168586731, 0.7691255211830139]","[0.7685273289680481, 0.8832482099533081]","[0.8191081881523132, 0.7455673217773438]","[0.786962628364563, 0.9197642207145691]","[0.8106704950332642, 0.8624204993247986]","[0.7226786017417908, 0.9322538375854492]"
"[0.6594189405441284, 0.14130429923534393]","[0.666205108165741, 0.11811266094446182]","[0.6686650514602661, 0.1175692230463028]","[0.6714621186256409, 0.11687669903039932]","[0.6650704145431519, 0.1181776374578476]","[0.6664913892745972, 0.11759920418262482]","[0.6681715250015259, 0.11661039292812347]","[0.6912928819656372, 0.12530238926410675]","[0.6866694688796997, 0.12169499695301056]","[0.6703133583068848, 0.16429072618484497]","[0.6683123707771301, 0.16426172852516174]","[0.7271066904067993, 0.22478222846984863]","[0.7109991908073425, 0.23161397874355316]","[0.7781387567520142, 0.3606589734554291]","[0.713627278804779, 0.3631690442562103]","[0.7197482585906982, 0.46678781509399414]","[0.6698517799377441, 0.42497918009757996]","[0.707014799118042, 0.4934001863002777]","[0.6521927118301392, 0.4379218518733978]","[0.6999932527542114, 0.4803304970264435]","[0.6521309018135071, 0.4302429258823395]","[0.7016474008560181, 0.4708452820777893]","[0.6600770950317383, 0.4265438914299011]","[0.7378597259521484, 0.544563889503479]","[0.7443337440490723, 0.5383251905441284]","[0.663966178894043, 0.7043421268463135]","[0.7284213900566101, 0.7211796045303345]","[0.7776404023170471, 0.7854993939399719]","[0.7687745094299316, 0.8695093989372253]","[0.7996740937232971, 0.7840328812599182]","[0.7929978370666504, 0.8952767252922058]","[0.770978569984436, 0.8723072409629822]","[0.7315233945846558, 0.917402982711792]"
"[0.6521193385124207, 0.11939310282468796]","[0.6589504480361938, 0.09728901833295822]","[0.6616194844245911, 0.0964137390255928]","[0.6645859479904175, 0.09541133046150208]","[0.6571813821792603, 0.09900692850351334]","[0.6583540439605713, 0.09913180768489838]","[0.659710705280304, 0.09895182400941849]","[0.6851760149002075, 0.10408871620893478]","[0.6791874766349792, 0.10533016920089722]","[0.6630285978317261, 0.13910530507564545]","[0.6609376668930054, 0.14038759469985962]","[0.7261108756065369, 0.20112086832523346]","[0.7023305892944336, 0.22900104522705078]","[0.7917662858963013, 0.3187923729419708]","[0.7142103910446167, 0.35942086577415466]","[0.7376697659492493, 0.4388866424560547]","[0.6629828214645386, 0.4235115349292755]","[0.7195715308189392, 0.4826139807701111]","[0.6480353474617004, 0.433086097240448]","[0.7117022275924683, 0.4629698097705841]","[0.6464830040931702, 0.42832937836647034]","[0.7136198878288269, 0.4514824450016022]","[0.6522823572158813, 0.42269957065582275]","[0.729112446308136, 0.5246450304985046]","[0.7410163283348083, 0.517315149307251]","[0.6542776823043823, 0.6719234585762024]","[0.7643810510635376, 0.713702917098999]","[0.7431790232658386, 0.801326334476471]","[0.841557502746582, 0.8652732968330383]","[0.7611182332038879, 0.8099716901779175]","[0.864864706993103, 0.894936203956604]","[0.6953118443489075, 0.8796659708023071]","[0.7981994152069092, 0.9131090641021729]"
